REF_DATE,VALUE
1992-01,680993
1992-02,671596
1992-03,652172
1992-04,664448
1992-05,661396
1992-06,655005
1992-07,632630
1992-08,645263
1992-09,635089
1992-10,657180
1992-11,652792
1992-12,652631
1993-01,680624
1993-02,637601
1993-03,619690
1993-04,631010
1993-05,671080
1993-06,655838
1993-07,668671
1993-08,675230
1993-09,687352
1993-10,702220
1993-11,696159
1993-12,689883
1994-01,659580
1994-02,673810
1994-03,692518
1994-04,747242
1994-05,722560
1994-06,723419
1994-07,740604
1994-08,720137
1994-09,739679
1994-10,696147
1994-11,738449
1994-12,669043
1995-01,723981
1995-02,715180
1995-03,759335
1995-04,732748
1995-05,720242
1995-06,728333
1995-07,723955
1995-08,735197
1995-09,727527
1995-10,719331
1995-11,693215
1995-12,698165
1996-01,694178
1996-02,718488
1996-03,746092
1996-04,736604
1996-05,738018
1996-06,786391
1996-07,749945
1996-08,741057
1996-09,712931
1996-10,737315
1996-11,700088
1996-12,741850
1997-01,739955
1997-02,758712
1997-03,775433
1997-04,744327
1997-05,720858
1997-06,729826
1997-07,731059
1997-08,728612
1997-09,738376
1997-10,740130
1997-11,735192
1997-12,754211
1998-01,773300
1998-02,772207
1998-03,744877
1998-04,772550
1998-05,794304
1998-06,798606
1998-07,797289
1998-08,823774
1998-09,805949
1998-10,818180
1998-11,840701
1998-12,809190
1999-01,704542
1999-02,815264
1999-03,803959
1999-04,793644
1999-05,808461
1999-06,792468
1999-07,830120
1999-08,806699
1999-09,818688
1999-10,824227
1999-11,805964
1999-12,780793
2000-01,775726
2000-02,790223
2000-03,789807
2000-04,798559
2000-05,813759
2000-06,789150
2000-07,780595
2000-08,776939
2000-09,806131
2000-10,800410
2000-11,793227
2000-12,737678
2001-01,853896
2001-02,832749
2001-03,877510
2001-04,847173
2001-05,846558
2001-06,852568
2001-07,815042
2001-08,846079
2001-09,673563
2001-10,674335
2001-11,725208
2001-12,757055
2002-01,784096
2002-02,826200
2002-03,820096
2002-04,847714
2002-05,829968
2002-06,817927
2002-07,847296
2002-08,826703
2002-09,786100
2002-10,790883
2002-11,795442
2002-12,792076
2003-01,807524
2003-02,754335
2003-03,726880
2003-04,544153
2003-05,539783
2003-06,605501
2003-07,620732
2003-08,624179
2003-09,666410
2003-10,695360
2003-11,695013
2003-12,723616
2004-01,711866
2004-02,739507
2004-03,757982
2004-04,755550
2004-05,780406
2004-06,748799
2004-07,793794
2004-08,817880
2004-09,782518
2004-10,791669
2004-11,740962
2004-12,739239
2005-01,750448
2005-02,814058
2005-03,759589
2005-04,761725
2005-05,748550
2005-06,770877
2005-07,771802
2005-08,736754
2005-09,734491
2005-10,720301
2005-11,727896
2005-12,703655
2006-01,761730
2006-02,739442
2006-03,742515
2006-04,725234
2006-05,719754
2006-06,710990
2006-07,715139
2006-08,722122
2006-09,702325
2006-10,696704
2006-11,713806
2006-12,729333
2007-01,694609
2007-02,672259
2007-03,694054
2007-04,660196
2007-05,694910
2007-06,715109
2007-07,685877
2007-08,717789
2007-09,737046
2007-10,731016
2007-11,722215
2007-12,691951
2008-01,683987
2008-02,659243
2008-03,650493
2008-04,687577
2008-05,689312
2008-06,686664
2008-07,676577
2008-08,660359
2008-09,653965
2008-10,665119
2008-11,659834
2008-12,675899
2009-01,634553
2009-02,654969
2009-03,626734
2009-04,649903
2009-05,622304
2009-06,573343
2009-07,605271
2009-08,609886
2009-09,599831
2009-10,580462
2009-11,577929
2009-12,606312
2010-01,600783
2010-02,597704
2010-03,631065
2010-04,608590
2010-05,612002
2010-06,611321
2010-07,658301
2010-08,641433
2010-09,636716
2010-10,636447
2010-11,641276
2010-12,612693
2011-01,622713
2011-02,607239
2011-03,612788
2011-04,609318
2011-05,615227
2011-06,627384
2011-07,634758
2011-08,610992
2011-09,630301
2011-10,638706
2011-11,636403
2011-12,632898
2012-01,650375
2012-02,655953
2012-03,654935
2012-04,666739
2012-05,643277
2012-06,651039
2012-07,632434
2012-08,648010
2012-09,635461
2012-10,624841
2012-11,638150
2012-12,655973
2013-01,636395
2013-02,632325
2013-03,637953
2013-04,611383
2013-05,610260
2013-06,613466
2013-07,597672
2013-08,614614
2013-09,606186
2013-10,616009
2013-11,620239
2013-12,630301
2014-01,615709
2014-02,611045
2014-03,616752
2014-04,622098
2014-05,629994
2014-06,631198
2014-07,623282
2014-08,628629
2014-09,651199
2014-10,659334
2014-11,617659
2014-12,652024
2015-01,656839
2015-02,657304
2015-03,665931
2015-04,679205
2015-05,716673
2015-06,711787
2015-07,725470
2015-08,730349
2015-09,737182
2015-10,700351
2015-11,710410
2015-12,736591
2016-01,724724
2016-02,774095
2016-03,752712
2016-04,762048
2016-05,791473
2016-06,772584
2016-07,819382
2016-08,794348
2016-09,815075
2016-10,810460
2016-11,783697
2016-12,777387
2017-01,828035
2017-02,809667
2017-03,807256
2017-04,843079
2017-05,804113
2017-06,827422
2017-07,818356
2017-08,815699
2017-09,821023
2017-10,837699
2017-11,856006
2017-12,784320
2018-01,827090
2018-02,841441
2018-03,822660
2018-04,768190
2018-05,771870
2018-06,795942
2018-07,774907
2018-08,794378
2018-09,776318
2018-10,788845
2018-11,824063
2018-12,821613
2019-01,799495
2019-02,810612
2019-03,839054
2019-04,852141
2019-05,853330
2019-06,838936
2019-07,843693
2019-08,848124
2019-09,851485
2019-10,861715
2019-11,839747
2019-12,866337
2020-01,505183
2020-02,446982
2020-03,193447
2020-04,8586
2020-05,6499
2020-06,8636
2020-07,10444
2020-08,15426
2020-09,19912
2020-10,23712
2020-11,38109
2020-12,43029
2021-01,45643
